#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
mnxr103434c3	ARAD_ECOLI;SGBE_ECOLI;ULAF_ECOLI	-1000	1000	B
mnxr103993c3	PAAG_ECOLI	-1000	1000	B
mnxr104014c2b		0	1000	LR
mnxr104014c2c19	s0001	-1000	1000	B
mnxr104025c3	RFAS_ECOLI	0	1000	LR
mnxr104036c2b		0	1000	LR
mnxr104036c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104072c3	FENR_ECOLI+FLAV_ECOLI+NRDD_ECOLI+NRDG_ECOLI;FENR_ECOLI+FLAW_ECOLI+NRDD_ECOLI+NRDG_ECOLI;FLAV_ECOLI+NRDD_ECOLI;FLAW_ECOLI+NRDD_ECOLI	-1000	0	RL
mnxr104075c3	FENR_ECOLI+FLAV_ECOLI+NRDD_ECOLI+NRDG_ECOLI;FENR_ECOLI+FLAW_ECOLI+NRDD_ECOLI+NRDG_ECOLI;FLAV_ECOLI+NRDD_ECOLI;FLAW_ECOLI+NRDD_ECOLI	0	1000	LR
mnxr104078c3	FENR_ECOLI+FLAV_ECOLI+NRDD_ECOLI+NRDG_ECOLI;FENR_ECOLI+FLAW_ECOLI+NRDD_ECOLI+NRDG_ECOLI;FLAV_ECOLI+NRDD_ECOLI;FLAW_ECOLI+NRDD_ECOLI	0	1000	LR
mnxr104081c3	FENR_ECOLI+FLAV_ECOLI+NRDD_ECOLI+NRDG_ECOLI;FENR_ECOLI+FLAW_ECOLI+NRDD_ECOLI+NRDG_ECOLI;FLAV_ECOLI+NRDD_ECOLI;FLAW_ECOLI+NRDD_ECOLI	0	1000	LR
mnxr104083c3	RPE_ECOLI	-1000	1000	B
mnxr104116c3	COBC_ECOLI	0	1000	LR
mnxr104149c3	SUFB_ECOLI+SUFC_ECOLI+SUFD_ECOLI+SUFE_ECOLI+SUFS_ECOLI	0	1000	LR
mnxr104150c3	SUFB_ECOLI+SUFC_ECOLI+SUFD_ECOLI+SUFE_ECOLI+SUFS_ECOLI	0	1000	LR
mnxr104151c3	SUFB_ECOLI+SUFC_ECOLI+SUFD_ECOLI+SUFE_ECOLI+SUFS_ECOLI	0	1000	LR
mnxr104152c3	SUFA_ECOLI+SUFB_ECOLI+SUFC_ECOLI+SUFD_ECOLI	-1000	0	RL
mnxr104171c3	SUFB_ECOLI+SUFC_ECOLI+SUFD_ECOLI	0	1000	LR
mnxr104172c3	SUFA_ECOLI+SUFB_ECOLI+SUFC_ECOLI+SUFD_ECOLI	-1000	0	RL
mnxr104239c3	ASTB_ECOLI	-1000	0	RL
mnxr104272c3	MTOX_ECOLI	-1000	0	RL
mnxr104288c2b		0	1000	LR
mnxr104288c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104298c3	SUFE_ECOLI+SUFS_ECOLI	-1000	0	RL
mnxr104300c3	DAPE_ECOLI	-1000	0	RL
mnxr104301c3	ARGD_ECOLI;ASTC_ECOLI;GABT_ECOLI;PUUE_ECOLI;SERC_ECOLI	-1000	1000	B
mnxr104319c3		-1000	0	RL
mnxr104320c3		0	1000	LR
mnxr104323c3	YNFE_ECOLI+YNFF_ECOLI+YNFG_ECOLI+YNFH_ECOLI	-1000	0	RL
mnxr104325c2b		-1000	1000	B
mnxr104325c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104327c2b		-1000	1000	B
mnxr104327c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104338c3	SDHD_ECOLI	-1000	0	RL
mnxr104346c3c19	SSTT_ECOLI	0	1000	LR
mnxr104352c3c19	SDAC_ECOLI;TDCC_ECOLI	0	1000	LR
mnxr104354c2b		0	1000	LR
mnxr104354c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104354c3c19	EAMA_ECOLI	-1000	0	RL
mnxr104357c3	SFGH1_ECOLI;SFGH2_ECOLI	-1000	0	RL
mnxr104362c3	ASTE_ECOLI	0	1000	LR
mnxr104368c3	ASTD_ECOLI	-1000	0	RL
mnxr104378c3	AROE_ECOLI;YDIB_ECOLI	-1000	1000	B
mnxr104379c3	AROK_ECOLI;AROL_ECOLI	-1000	0	RL
mnxr104380c3	METB_ECOLI	-1000	0	RL
mnxr104393c3c19	SHIA_ECOLI	0	1000	LR
mnxr104394c2b		0	1000	LR
mnxr104394c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104456c2b		0	1000	LR
mnxr104456c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104456c3c19	s0001	-1000	1000	B
mnxr104460c2b		0	1000	LR
mnxr104460c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104466c3c19	CYSZ_ECOLI	0	1000	LR
mnxr104469c2b		-1000	1000	B
mnxr104469c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104477c3	ASTC_ECOLI	0	1000	LR
mnxr104494c3c19	POTA_ECOLI+POTB_ECOLI+POTC_ECOLI+POTD_ECOLI;YDCS_ECOLI+YDCT_ECOLI+YDCU_ECOLI+YDCV_ECOLI	0	1000	LR
mnxr104495c2b		0	1000	LR
mnxr104495c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr104497c3c19	MDTI_ECOLI+MDTJ_ECOLI	0	1000	LR
mnxr104540c3	SAD_ECOLI	-1000	0	RL
mnxr104541c3	GABD_ECOLI;SAD_ECOLI	0	1000	LR
mnxr104611c3c19	DCUA_ECOLI;DCUB_ECOLI;DCUC_ECOLI	-1000	1000	B
mnxr104619c2b		0	1000	LR
